director_name,genre,actor_name,movie_name,rating,year
Andrew Berends,Documentary|War,,The Blood of My Brother,3.5,2005
U. Roberto Romano,Documentary,,The Harvest/La Cosecha,4.6,2011
Amal Al-Agroobi,Documentary|Family,,The Brain That Sings,3.5,2013
Jem Cohen,Documentary,,Counting,3.1,2015
L̩a Pool,Documentary,,"""Pink Ribbons",5.1,1200000
Sam Mendes,Action|Adventure|Thriller,Christoph Waltz,Spectre,17000,2015
Christopher Nolan,Action|Thriller,Tom Hardy,The Dark Knight Rises,4000,2012
Andrew Stanton,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter,2011,2012
Sam Raimi,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3,2008,2007
Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled,2007,2010
Christopher Nolan,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar,8.6,2014
Alan Taylor,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys,8.6,2015
Francis Lawrence,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,8.6,2015
Duncan Jones,Action|Adventure|Fantasy,Dominic Cooper,Warcraft,8.6,2016
James Bobin,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass,8.6,2016